 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/search_product.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/search_product.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2003): Can't connect to MySQL server on 'mysql' (111) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Can't connect to MySQL server on 'mysql' (111) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/profile.php:58) in /var/www/html/profile.php on 112 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/histroy.php:55) in /var/www/html/histroy.php on 109 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/profile.php:58) in /var/www/html/profile.php on 112 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/histroy.php:55) in /var/www/html/histroy.php on 109 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/enter_bill.php:6) in /var/www/html/enter_bill.php on 131 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/enter_bill.php:6) in /var/www/html/enter_bill.php on 131 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2013): Lost connection to MySQL server at 'reading initial communication packet', system error: 104 in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Lost connection to MySQL server at 'reading initial communication packet', system error: 104 in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (28000/1045): Access denied for user 'user'@'172.20.0.4' (using password: YES) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Access denied for user 'user'@'172.20.0.4' (using password: YES) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/enter_bill.php:6) in /var/www/html/enter_bill.php on 131 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/enter_bill.php:6) in /var/www/html/enter_bill.php on 131 
